id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,180fd8822cc94c0b98daf98c205334b8,2024-10-02T00:00:00,0,Москва,1606,Евгений,Васильев,4,Сахар песок,5,250,shipped
2,14b0a0be98209cb6716b01e2d33aa400,2024-10-02T00:00:00,1,Ростов,2614,Ольга,Егорова,0,Молоко 1%,5,500,shipped
3,d7c0deb4e14d6261abcbe62b7f97990d,2024-10-02T00:00:00,0,Москва,407,Иван,Кузнецов,7,Средство для мытья посуды,5,1000,shipped
4,38429c5386f7b2b06de48940796bb9a0,2024-10-02T00:00:00,2,Ярославль,5311,Оксана,Волкова,0,Молоко 1%,2,200,shipped
5,af06a548858b7cddec2aad61b3ef0898,2024-10-02T00:00:00,0,Москва,1516,Евгения,Лебедева,9,Ручка шариковая,5,225,shipped
6,7bd53836685e92bde044526f1d1c83a3,2024-10-02T00:00:00,0,Москва,7517,Анна,Лебедева,2,Молоко 5%,3,450,shipped
7,5aafbb0daac593722eac190f9427ca76,2024-10-02T00:00:00,2,Ярославль,8619,Снежанна,Егорова,7,Средство для мытья посуды,5,1000,shipped
8,632a9532dfccfbe1b1f291601c23eadc,2024-10-02T00:00:00,0,Москва,7916,Анна,Орлова,7,Средство для мытья посуды,3,600,shipped
9,f6ffbeb7e1891c7d5afc0c7b551561db,2024-10-02T00:00:00,1,Ростов,6906,Алексей,Новиков,1,Молоко 3%,3,360,shipped
10,a189732b292b37f7accd6dcfc8038a11,2024-10-02T00:00:00,0,Москва,7314,Анна,Волкова,10,Томаты,1,50,shipped
11,807bc6de9f9c07721992657c90497dbe,2024-10-02T00:00:00,1,Ростов,708,Иван,Соколов,7,Средство для мытья посуды,1,200,shipped
12,f8cfa728fa7dd73c8bbeea6491561263,2024-10-02T00:00:00,0,Москва,115,Александра,Федорова,8,Лампочка LED,4,1200,shipped
13,0cd4f94a22ecf6ea23e1ceae2d137f86,2024-10-02T00:00:00,0,Москва,3617,Светлана,Егорова,1,Молоко 3%,4,480,shipped
14,ad2c22fb052a21688f81108159f88232,2024-10-02T00:00:00,2,Ярославль,6414,Елизавета,Алексеева,4,Сахар песок,2,100,refunded
15,b39c8dcc170fc1d95765206f13e8b3ac,2024-10-02T00:00:00,2,Ярославль,3009,Олег,Иванов,7,Средство для мытья посуды,4,800,shipped
